rows=3850
cols=3969
(0, 2730, -1526)
(0, 4256, -1838)
(0, 6734, 488)
(0, 800, -242)
(0, 1278, -1638)
(0, 4224, -1494)
(0, 2090, -1116)
(0, 602, -1416)
(0, 2612, -1216)
(0, 2850, 48)
(0, 6956, -700)
(0, 1204, -1200)
(0, 2848, -1322)
(0, 2970, -1714)
(0, 6448, -1362)
(0, 7806, 1598)
(0, 860, 708)
(0, 1238, 1660)
(0, 300, -1400)
(0, 3930, -1076)
(0, 2320, -2024)
(0, 2092, 1320)
(0, 2504, -1604)
(0, 3832, -634)
(0, 3222, 456)
(0, 1584, -1270)
(2, 4748, -402)
(2, 962, -588)
(2, 1666, -1262)
(2, 5354, -192)
(2, 7034, 816)
(2, 7884, 1874)
(2, 6450, -1696)
(2, 6856, -1048)
(2, 6792, -1430)
(2, 2530, -1634)
(2, 4608, -1478)
(2, 2474, -1150)
(2, 6614, -1298)
(2, 2126, -1620)
(2, 684, -1380)
(2, 5104, -1484)
(2, 2100, -1872)
(2, 2036, 1798)
(2, 1144, -1226)
(2, 2964, -740)
(2, 540, -1816)
(2, 484, -1208)
(2, 3768, -1036)
(2, 34, 256)
(2, 7732, 852)
(2, 1508, 964)
(2, 3232, 270)
(2, 592, -100)
(2, 2624, -542)
(2, 3724, 1998)
(2, 1436, 848)
(2, 3696, -1850)
(2, 366, 1816)
(2, 5780, 218)
(2, 4484, -1822)
(2, 7266, 80)
(2, 3606, 1084)
(2, 488, -1606)
(2, 7510, 874)
(2, 2822, 978)
(2, 2446, -1724)
(2, 2662, 358)
(2, 3966, -644)
(2, 2, -1370)
(2, 4066, -28)
(2, 124, -1994)
(2, 2614, -1096)
(2, 4584, -1118)
(4, 3254, 68)
(4, 4512, 512)
(4, 696, 1154)
(4, 3960, -1716)
(4, 12, -1468)
(4, 2130, -1614)
(4, 3818, 88)
(4, 1420, -1056)
(4, 158, -1408)
(4, 3622, -1650)
(4, 2246, -1516)
(4, 1308, -898)
(6, 560, 2008)
(6, 2852, -1170)
(6, 2832, -1610)
(6, 3764, -1778)
(6, 778, -2006)
(6, 2606, -1462)
(6, 2282, 840)
(6, 6344, -1454)
(6, 2412, -404)
(6, 3330, -1098)
(6, 2610, -486)
(6, 1482, -1148)
(6, 5160, -1144)
(6, 3668, 1606)
(6, 4800, -1432)
(6, 1818, -1394)
(6, 3378, -1120)
(6, 5282, -380)
(6, 4170, 884)
(6, 2350, 36)
(6, 2702, -1930)
(6, 884, -168)
(6, 1860, 680)
(6, 6612, 910)
(6, 1336, -1068)
(6, 1478, -962)
(6, 5822, -1260)
(6, 4352, -1360)
(6, 7194, -1124)
(6, 1574, -1368)
(6, 3118, 222)
(6, 1666, -1958)
(6, 598, 1858)
(6, 2546, -1708)
(6, 2954, -410)
(6, 3954, -2034)
(6, 1512, -1200)
(6, 3614, 1682)
(6, 708, -1174)
(6, 7538, 212)
(6, 3768, -1728)
(6, 3862, -1794)
(6, 2624, -244)
(6, 1096, -2004)
(6, 2504, -1876)
(6, 774, 1186)
(6, 4534, 1196)
(6, 284, -1370)
(6, 3158, 1388)
(6, 3700, 1012)
(6, 2754, -1914)
(6, 2548, -1634)
(6, 5012, -1420)
(6, 2140, -1188)
(6, 1548, 340)
(6, 1148, 244)
(6, 2258, -1298)
(6, 3078, 142)
(6, 192, -558)
(6, 1018, -1930)
(6, 414, -1900)
(6, 594, -1482)
(6, 2460, 1170)
(6, 4044, -1900)
(6, 1324, -1252)
(6, 6648, -1248)
(6, 1978, -1324)
(6, 1460, -948)
(6, 120, -1788)
(6, 1212, -1128)
(6, 3842, -1964)
(6, 7316, -1928)
(6, 1124, -156)
(6, 2606, 1580)
(6, 1648, -1902)
(6, 1342, 2018)
(6, 916, -1788)
(6, 6564, -1994)
(6, 360, -1356)
(6, 5392, 824)
(6, 7396, 1390)
(6, 1748, -1668)
(6, 1446, -1452)
(6, 1370, -1916)
(6, 3016, -780)
(6, 942, -1010)
(6, 3026, -1724)
(6, 3444, -1860)
(6, 1422, -1584)
(6, 7860, 6)
(6, 2860, -1106)
(6, 2130, -1432)
(6, 1882, 1322)
(6, 118, 26)
(6, 3966, -1394)
(6, 6014, 336)
(6, 4354, -1038)
(6, 4046, -1418)
(6, 2160, -2020)
(6, 3784, 2)
(6, 3034, 164)
(6, 6248, -1970)
(6, 1656, -1146)
(6, 230, -1468)
(6, 1392, -1554)
(6, 606, -1908)
(6, 868, 692)
(6, 5706, -1574)
(6, 7186, -1128)
(6, 7098, -1890)
(6, 5114, -1456)
(6, 7692, -2000)
(8, 3802, -1516)
(8, 4872, -1756)
(8, 612, -1294)
(8, 2958, -1192)
(8, 586, -1138)
(8, 468, -634)
(8, 504, -270)
(8, 2562, -1920)
(8, 238, 772)
(8, 3630, 1186)
(8, 2646, -1426)
(8, 2210, -1598)
(8, 3678, -438)
(10, 226, -1990)
(10, 1322, -1540)
(10, 5792, -1190)
(10, 7392, -1570)
(10, 1830, -1850)
(10, 1388, -1258)
(10, 924, -1252)
(10, 7192, -1234)
(10, 3914, 708)
(10, 1306, -1430)
(10, 3908, -1902)
(10, 7640, -1708)
(10, 1388, 1116)
(10, 3170, 290)
(10, 7482, -1936)
(10, 2098, -1870)
(10, 1220, -1336)
(10, 5424, 334)
(10, 222, -1064)
(10, 4388, -2032)
(10, 2026, -1672)
(10, 3418, -1748)
(10, 7874, -988)
(10, 7406, 1444)
(10, 3998, -1990)
(10, 1694, -1932)
(10, 2676, 1232)
(10, 2690, -1700)
(10, 3960, -1394)
(10, 2974, 598)
(10, 5788, -26)
(10, 2330, -1346)
(10, 2636, -1368)
(10, 3772, -1922)
(10, 1238, -826)
(10, 982, -1562)
(10, 2144, -1242)
(10, 382, -998)
(10, 2628, -1626)
(10, 4812, -1360)
(10, 2572, -2008)
(12, 3836, 1326)
(12, 3242, -176)
(12, 3874, -262)
(12, 1162, -172)
(12, 374, 1828)
(12, 6386, 1698)
(12, 3986, -1778)
(12, 5986, -1412)
(12, 2562, -1500)
(12, 2132, -1978)
(12, 2356, -1888)
(12, 930, -1452)
(12, 2134, -1694)
(12, 5950, -1452)
(12, 1630, -1964)
(12, 1756, -1288)
(12, 3952, 966)
(12, 4786, -1330)
(12, 468, -1184)
(12, 7220, 1126)
(12, 1398, -1130)
(12, 2596, -326)
(12, 176, 58)
(12, 4100, -1558)
(12, 2230, -1382)
(12, 1850, 192)
(12, 4630, 832)
(12, 412, -1508)
(12, 1466, -1716)
(12, 920, 2016)
(12, 1144, -1398)
(12, 3812, -1508)
(12, 1400, -1834)
(12, 1348, 680)
(12, 76, -942)
(12, 590, -1890)
(12, 1484, -1944)
(12, 4762, -1186)
(12, 2624, -1084)
(12, 2164, -1234)
(12, 7594, -1502)
(12, 3584, -1174)
(12, 1394, 236)
(12, 1340, -1808)
(12, 92, -2012)
(12, 2250, -1820)
(12, 70, -1430)
(12, 6844, -858)
(12, 2804, -354)
(12, 5658, 1488)
(12, 6452, -1450)
(12, 888, -1172)
(12, 1814, -1062)
(12, 6530, 986)
(12, 3310, -1180)
(12, 3646, -1478)
(12, 4998, -1826)
(12, 2548, -1786)
(12, 446, -1472)
(12, 3376, 1692)
(12, 2718, 438)
(12, 644, -1560)
(12, 1576, -1396)
(12, 5176, -726)
(12, 2518, -1708)
(12, 3618, -1258)
(12, 2558, -1700)
(12, 1320, -1148)
(12, 1526, -296)
(12, 1966, -1614)
(12, 1824, 158)
(12, 1158, 300)
(12, 1406, 1032)
(12, 310, -1076)
(12, 7862, -1396)
(12, 1298, -1374)
(12, 360, 568)
(12, 6282, -420)
(12, 7266, -1126)
(12, 2344, -1356)
(12, 3326, -1270)
(12, 3410, -1852)
(12, 2918, -1642)
(14, 2562, 1922)
(14, 3702, -1244)
(14, 3280, 1756)
(14, 1728, -748)
(14, 874, -1726)
(14, 964, -1306)
(14, 2742, -1114)
(14, 188, -1542)
(14, 2580, -1732)
(14, 3398, 1796)
(14, 2984, -600)
(14, 404, -1712)
(14, 2784, -1348)
(14, 7044, -1622)
(14, 6072, -1140)
(14, 4058, -1436)
(14, 1242, -1848)
(14, 3936, -1122)
(14, 7284, -1628)
(14, 1140, 1186)
(14, 318, -1912)
(14, 2588, -1846)
(14, 4996, -1068)
(14, 3386, -2046)
(14, 3914, 612)
(14, 2364, 344)
(14, 7008, -1142)
(14, 7574, -1134)
(14, 3902, -1884)
(14, 3258, 212)
(14, 1978, 808)
(14, 7006, 916)
(14, 3260, -472)
(14, 7012, -2012)
(14, 1422, -388)
(14, 3178, 1912)
(14, 3214, -1140)
(14, 3556, 1968)
(14, 2166, -1628)
(14, 4966, -1792)
(14, 1732, -276)
(14, 414, -1674)
(14, 2958, 520)
(14, 226, -1766)
(14, 1278, -1502)
(14, 3516, 408)
(14, 3828, -1794)
(14, 7538, -1156)
(14, 1850, -1154)
(14, 4916, -1026)
(14, 5666, -1192)
(14, 5740, -1184)
(14, 2536, 1932)
(14, 2382, -1434)
(14, 3376, -1998)
(14, 1332, -1182)
(14, 758, -1318)
(14, 3212, -816)
(14, 254, -1304)
(14, 3840, -1038)
(14, 1050, -992)
(14, 6962, -1706)
(14, 2720, -1688)
(14, 1892, 42)
(14, 2994, -534)
(14, 2116, 1664)
(14, 4022, -412)
(14, 1856, -1476)
(14, 4472, -1824)
(14, 2290, -1930)
(14, 4820, -482)
(14, 2294, -808)
(14, 3440, -1582)
(14, 518, -1828)
(14, 1194, -1764)
(14, 2700, 690)
(14, 3988, 852)
(14, 2176, -1424)
(14, 3892, -1352)
(14, 874, -1092)
(14, 724, 544)
(14, 1172, -1654)
(16, 6788, -1796)
(16, 1250, -1366)
(16, 636, -1684)
(16, 3420, 1060)
(16, 1292, -1456)
(16, 5280, -1222)
(16, 3680, -1872)
(16, 1374, -1086)
(16, 2298, -1548)
(16, 3922, -1786)
(16, 306, -1810)
(16, 4482, -1092)
(16, 5688, 956)
(16, 6408, 1592)
(16, 3582, -1878)
(16, 3106, -832)
(16, 2348, 1516)
(16, 1012, -1164)
(16, 2056, 1914)
(16, 18, 186)
(16, 2644, 1476)
(16, 7764, -1336)
(16, 2756, 1188)
(16, 940, 624)
(16, 884, 914)
(16, 4858, -1792)
(16, 3004, -1062)
(16, 1812, -1618)
(16, 3382, -1970)
(16, 680, 872)
(16, 3894, -1304)
(16, 900, -1522)
(16, 2626, 1180)
(16, 3778, -2026)
(16, 3920, -1316)
(16, 302, -842)
(16, 3198, 122)
(16, 4548, -1182)
(16, 6978, 734)
(16, 416, -1350)
(16, 194, 590)
(16, 5602, -1576)
(16, 468, 698)
(16, 3348, 1864)
(16, 1500, -2040)
(16, 2808, -1508)
(16, 78, -1082)
(16, 426, -1280)
(16, 3002, -1944)
(16, 7112, -1064)
(16, 3198, -1694)
(16, 6230, -1498)
(16, 1458, -1398)
(16, 6336, 1212)
(16, 4134, 1654)
(16, 2484, -1798)
(16, 5256, -1648)
(16, 1044, -1772)
(16, 2288, 300)
(16, 2702, -1762)
(16, 3768, 688)
(16, 2556, 1372)
(16, 2870, 934)
(16, 7894, -980)
(16, 1596, -1546)
(16, 556, 416)
(16, 2766, -1138)
(16, 694, -1508)
(16, 2216, -658)
(16, 5112, -1554)
(16, 6530, -1500)
(16, 1790, -1788)
(16, 996, -1580)
(16, 942, -1454)
(16, 2822, -980)
(16, 5104, -1090)
(16, 7202, 582)
(16, 3124, -1434)
(16, 2174, 192)
(16, 1778, -1546)
(16, 2454, -1032)
(16, 444, -1984)
(16, 428, -1618)
(16, 6514, -1664)
(16, 2154, 1168)
(16, 6926, 1520)
(16, 7632, -2018)
(16, 2004, -1746)
(16, 7434, -1866)
(16, 5966, 1758)
(16, 2250, -1090)
(16, 1872, -1226)
(16, 196, -1882)
(16, 1870, -1508)
(16, 1416, -1584)
(16, 6166, -1134)
(16, 3742, -1084)
(16, 6462, 1078)
(16, 1778, -842)
(16, 1530, -1068)
(16, 6302, -1912)
(16, 2308, 1480)
(16, 4944, -1786)
(16, 778, -2042)
(16, 956, 1896)
(16, 1116, -212)
(16, 208, -370)
(16, 1376, -814)
(16, 1042, 1444)
(16, 7392, 1640)
(16, 2570, -974)
(16, 4064, 1140)
(16, 4642, 1168)
(16, 3536, -98)
(16, 3574, -1630)
(16, 684, -1964)
(16, 802, -1382)
(16, 2210, -1914)
(16, 2558, -1814)
(16, 2014, -1676)
(16, 2720, 1206)
(16, 620, -1054)
(16, 2668, -1066)
(16, 2046, -340)
(16, 2810, -1434)
(16, 1122, -1462)
(16, 260, -1690)
(16, 5632, -1240)
(16, 1560, -1810)
(16, 6034, -1530)
